person_id	field	value_or_angle	status	slug	proposed	decision
X02053	nb_replace	"old=""She is buried at Arlington National Cemetery"" header=""An army wife from fort to fort"" body=""She married a first lieutenant of the Medical Corps at New Haven in the May of 1893, and he went out that year to Fort Assinniboine in Montana. Their daughter came in 1902 and their son at Fort Bayard in New Mexico in 1904, while he was recovering there from the tuberculosis he had caught in the Philippines."" category=family"	OK nb_replace: 'She is buried at Arlington National Cemetery' -> 'An army wife from fort to fort' placed verbatim in place	/person/marta-schneeloch-1872		
HD3016	nb_approved	"header=""West Point to brigadier in nineteen years"" body=""He came out of the Military Academy in 1926 a second lieutenant and was a brigadier general by the June of 1945, at forty-one. In between he ran the Army's information branch and then its pictorial service."" category=military"	OK nb_approved appended verbatim: 'West Point to brigadier in nineteen years'	/person/edward-munson-1904		
HD3016	nb_approved	"header=""He wrote the book his father had written"" body=""His father had published a handbook on the systematic development of morale in 1921, out of the Army's Morale Branch. The son wrote Leadership for the American Soldier out of the same work a war later."" category=literature"	OK nb_approved appended verbatim: 'He wrote the book his father had written'	/person/edward-munson-1904		
HD3016	nb_approved	"header=""Zanuck hired him off the Pictorial Service"" body=""Darryl Zanuck announced in the November of 1945 that the chief of the Army Pictorial Service would join Twentieth Century-Fox as a production executive. He ended at NBC, directing its film division and then its television operations."" category=business"	OK nb_approved appended verbatim: 'Zanuck hired him off the Pictorial Service'	/person/edward-munson-1904		
HD3016	nb_approved	"header=""He was born on a tuberculosis post"" body=""He was born at Fort Bayard in New Mexico in the August of 1904 — the Army's tuberculosis hospital, where his father had been sent home from the Philippines to recover. He grew up on posts from California to Hawaii to Georgia."" category=family"	OK nb_approved appended verbatim: 'He was born on a tuberculosis post'	/person/edward-munson-1904		
HD3016	cc	"related=I02368 link=""Lawrence Wise Lowman"" label=""ran wartime communications for the OSS, then built CBS television"""	OK cc->I02368 added; FLAG needs reciprocal cc row on I02368	/person/edward-munson-1904		
I02368	cc	"related=HD3016 link=""Brig. Gen. Edward Lyman Munson Jr."" label=""ran the Army's pictorial service, then built NBC television"""	OK cc->HD3016 added (reciprocal present)	/person/lawrence-lowman-1900		
I02647	cc	"related=H03434 link=""Elon Huntington Hooker"" label=""inspected the Panama and Nicaragua canal routes in 1898"""	OK cc->H03434 added; FLAG needs reciprocal cc row on H03434	/person/william-carter-1907		
H03434	cc	"related=I02647 link=""Maj. Gen. William Arnold Carter"" label=""governed the Canal Zone six decades after he surveyed the route"""	OK cc->I02647 added (reciprocal present)	/person/elon-hooker-1869		
I02647	education	"school_name=""United States Military Academy"" dates=""1930"""	OK education record appended	/person/william-carter-1907		
I02647	education	"school_name=""University of California"" dates=""1933"" notes=""B.S. in civil engineering."""	OK education record appended	/person/william-carter-1907		
I02647	career	"role=""Governor"" organization=""Panama Canal Zone"" start_year=1960 end_year=1962"	OK career record appended	/person/william-carter-1907		
I02647	career	"role=""Director, Infrastructure and Industrial Projects"" organization=""Inter-American Development Bank"" start_year=1963 end_year=1972"	OK career record appended	/person/william-carter-1907		
I02647	career	"role=""Project manager, Itaipu hydropower scheme"" organization=""Brazil"" start_year=1972"	OK career record appended	/person/william-carter-1907		
I02647	nb_approved	"header=""He was Bradley's engineer at Normandy"" body=""He was chief engineer to Omar Bradley through Tunisia and Sicily, then chief engineer of the First Army for the Normandy landings and the drive across Europe. He made major general afterwards as president of the Mississippi River Commission."" category=military"	OK nb_approved appended verbatim: 'He was Bradley's engineer at Normandy'	/person/william-carter-1907		
I02647	nb_approved	"header=""He ended the segregation in the Zone"" body=""Appointed governor of the Panama Canal Zone in 1960, he brought the anti-American rioting to a stop and ended segregation inside the Zone. He left in 1962 for the Inter-American Development Bank."" category=social_reform"	OK nb_approved appended verbatim: 'He ended the segregation in the Zone'	/person/william-carter-1907		
I02647	nb_approved	"header=""He planned a twelve-million-kilowatt dam"" body=""He went to Brazil in 1972 as project manager for the planning of Itaipu, then the largest hydroelectric scheme ever attempted. He was sixty-five when he started it."" category=career"	OK nb_approved appended verbatim: 'He planned a twelve-million-kilowatt dam'	/person/william-carter-1907		
HD8140	bio_blurb	Army daughter and general's wife	OK bio_blurb set	/person/katharine-carter-1902		
