person_id	field	value_or_angle	status	slug	proposed	decision
X02110	notable_blurb	Montana governor, Civil War colonel, big-game hunter	OK notable_blurb set	/person/john-crosby-1839		
X02110	nb_replace	"old=""He earned a letter of thanks from Abraham"" header=""Arthur sent him to govern Montana"" body=""Chester Arthur made him fifth governor of Montana Territory in 1883, and he antagonised a Democratic legislature with his veto pen for two years before resigning to take the postmastership. He blocked the cattle interests from getting hold of Yellowstone, and organised one of the largest big-game hunts ever held in the country - the party included the President, his own Secretary of War, and a senator."" category=politics"	OK nb_replace: 'He earned a letter of thanks from Abraham' -> 'Arthur sent him to govern Montana' placed verbatim in place	/person/john-crosby-1839		
X02110	nb_replace	"old=""As Governor of Montana Territory"" header=""Lincoln thanked him for the dispatches"" body=""During the Red River campaign he carried dispatches through Confederate country to Admiral Farragut, and Lincoln wrote him a letter of thanks for it. He was brevetted four times for gallantry and left the army in 1871 a lieutenant colonel."" category=military"	OK nb_replace: 'As Governor of Montana Territory' -> 'Lincoln thanked him for the dispatches' placed verbatim in place	/person/john-crosby-1839		
X02110	nb_replace	"old=""He saved lives when a yacht capsized"" header=""Congress struck him a medal for the wreck"" body=""A squall capsized the yacht Mohawk in New York harbour in July 1876. He got Miss Edith May out alive and went back for the others; Congress voted him a life-saving medal the following year for what it called extreme and heroic daring."" category=character"	OK nb_replace: 'He saved lives when a yacht capsized' -> 'Congress struck him a medal for the wreck' placed verbatim in place	/person/john-crosby-1839		
X02110	nb_replace	"old=""His valet came at him with a knife"" header=""A band of forgers, and a crown"" body=""As consul at Florence he helped the Italian authorities take and prosecute a band forging public securities. On 29 June 1881 the government thanked him with the Order of the Crown of Italy."" category=career"	OK nb_replace: 'His valet came at him with a knife' -> 'A band of forgers, and a crown' placed verbatim in place	/person/john-crosby-1839		
X02110	nb_replace	"old=""Italy decorated him for catching forgers"" header=""The valet came at him with a knife"" body=""In January 1913 the Japanese valet who had served him seven years went suddenly insane, took a short knife from Crosby's own collection of old weapons, and came at him in his sickbed. At seventy-three he got up and wrestled the man down until the household came. His obituary said he never recovered from the strain."" category=character"	OK nb_replace: 'Italy decorated him for catching forgers' -> 'The valet came at him with a knife' placed verbatim in place	/person/john-crosby-1839		
X03778	photo_url	https://res.cloudinary.com/dc5clrqtw/image/upload/v1785087707/Harry_Grew_Crosby_1919_iy3rsq.jpg	OK photo set: https://res.cloudinary.com/dc5clrqtw/image/uploa	/person/harry-crosby-1898		
X03778	field_set	cross_connections[2].display_label=was his mother's sister, and married John Pierpont Morgan Jr.	"OK set cross_connections[2].display_label = ""was his mother's sister, and married John Pierpont Morgan Jr."""	/person/harry-crosby-1898		
X00362	field_set	cross_connections[2].display_label=was her sister's son, the poet who shot himself at thirty-one	"OK set cross_connections[2].display_label = ""was her sister's son, the poet who shot himself at thirty-one"""	/person/jane-grew-1868		
X03778	cc_remove	HD1221	OK CC to HD1221 removed (explicit)	/person/harry-crosby-1898		
HD1221	cc_remove	X03778	OK CC to X03778 removed (explicit)	/person/junius-morgan-1892		
X03778	field_set	relational_label_override=Nephew-in-law of Ninth and Tenth Generation Hookers	OK set relational_label_override = 'Nephew-in-law of Ninth and Tenth Generation Hookers'	/person/harry-crosby-1898		
X03777	field_set	relational_label_override=Brother-in-law of Ninth and Tenth Generation Hookers	OK set relational_label_override = 'Brother-in-law of Ninth and Tenth Generation Hookers'	/person/stephen-crosby-1868		
X03779	field_set	relational_label_override=Sister-in-law of Ninth and Tenth Generation Hookers	OK set relational_label_override = 'Sister-in-law of Ninth and Tenth Generation Hookers'	/person/henrietta-grew-1872		
X03779	field_set	parents.father_name=Henry Sturgis Grew	OK set parents.father_name = 'Henry Sturgis Grew'	/person/henrietta-grew-1872		
X03779	field_set	parents.mother_name=Jane Norton Wigglesworth	OK set parents.mother_name = 'Jane Norton Wigglesworth'	/person/henrietta-grew-1872		
X03779	field_set	research_notes=Sister of Jane Norton Grew (X00362), who married J.P. Morgan Jr. Same parents, Henry Sturgis Grew and Jane Norton Wigglesworth; neither parent is built. Her son Harry was christened Henry Sturgis Crosby for that grandfather.	OK set research_notes = 'Sister of Jane Norton Grew (X00362), who married J.P. Morgan Jr. Same parents, Henry Sturgis Grew and Jane Norton Wigglesworth; neither parent is built. Her son Harry was christened Henry Sturgis Crosby for that grandfather.'	/person/henrietta-grew-1872		
