person_id	field	value_or_angle	status	slug	proposed	decision
X00770	photo_url	https://res.cloudinary.com/dc5clrqtw/image/upload/v1785087388/500px-StephenGroverCleveland_yidsiz.jpg	OK photo set: https://res.cloudinary.com/dc5clrqtw/image/uploa	/person/grover-cleveland-1837		
X00770	notable_blurb	22nd and 24th President of the United States	OK notable_blurb set	/person/grover-cleveland-1837		
X00770	nb_approved	"header=""The first to leave and come back"" body=""He won the popular vote in 1888 but lost the electoral college to Benjamin Harrison, went back to a New York law firm, and beat Harrison four years later. He was the first president to serve two terms that did not run together."" category=politics"	OK nb_approved appended verbatim: 'The first to leave and come back'	/person/grover-cleveland-1837		
X00770	nb_approved	"header=""He vetoed more than every president before"" body=""In his first term alone he used the veto four hundred and fourteen times, more than four times any predecessor, most of them on private pension bills. Refusing seed money to drought-struck Texas farmers, he wrote that though the people support the government, the government should not support the people."" category=politics"	OK nb_approved appended verbatim: 'He vetoed more than every president before'	/person/grover-cleveland-1837		
X00770	nb_approved	"header=""A letter from Savannah reached his wife"" body=""In 1887 Lillie Pierpont wrote to Frances Cleveland asking the President to intervene for the Seminole in a dispute at Titusville. What came back the next year made her the first woman in Florida appointed a federal agent of the Indian Bureau."" category=politics"	OK nb_approved appended verbatim: 'A letter from Savannah reached his wife'	/person/grover-cleveland-1837		
X00770	nb_approved	"header=""He put a Middletown banker on the plains"" body=""In 1885 he appointed Jonathan Burwell Kilbourn receiver of public moneys at the Pueblo land office, a post the Connecticut banker held for five years. Kilbourn had gone out to Colorado for his health and stayed for the work."" category=politics"	OK nb_approved appended verbatim: 'He put a Middletown banker on the plains'	/person/grover-cleveland-1837		
X00770	cc	"related=HD1177 link=""Lillie Pierpont"" label=""wrote to his wife about the Seminole and got a federal post"""	OK cc->HD1177 added; FLAG needs reciprocal cc row on HD1177	/person/grover-cleveland-1837		
HD1177	cc	"related=X00770 link=""Grover Cleveland"" label=""answered her Seminole letter with the appointment that made her first"""	OK cc->X00770 added (reciprocal present)	/person/elizabeth-lillian-lillie-pierpont-pierpont-1853		
X00770	cc	"related=HD6462 link=""Jonathan Burwell Kilbourn"" label=""took the Pueblo land office from him and held it five years"""	OK cc->HD6462 added; FLAG needs reciprocal cc row on HD6462	/person/grover-cleveland-1837		
HD6462	cc	"related=X00770 link=""Grover Cleveland"" label=""made him receiver of public moneys at Pueblo in 1885"""	OK cc->X00770 added (reciprocal present)	/person/jonathan-burwell-kilbourn-1843		
X03778	cc	"related=X00362 link=""Jane Norton Grew Morgan"" label=""was his mother's sister, and the reason he stands in this tree"""	OK cc->X00362 added; FLAG needs reciprocal cc row on X00362	/person/harry-crosby-1898		
X00362	cc	"related=X03778 link=""Harry Crosby"" label=""was her sister's boy, the poet who shot himself at thirty-one"""	OK cc->X03778 added (reciprocal present)	/person/jane-grew-1868		
X03777	bio_blurb	Boston investment banker	OK bio_blurb set	/person/stephen-crosby-1868		
X03777	nb_approved	"header=""He sold the stock his son drank through"" body=""From Boston he managed the trust that paid for his son's life in Paris, and in July 1929 got a cable reading PLEASE SELL TEN THOUSAND DOLLARS WORTH OF STOCK. WE HAVE DECIDED TO LIVE A MAD AND EXTRAVAGANT LIFE. He complied, and rebuked him for it."" category=family"	OK nb_approved appended verbatim: 'He sold the stock his son drank through'	/person/stephen-crosby-1868		
X03779	nb_approved	"header=""She gave him the poetry and the sun"" body=""Religious and affectionate, a founder of the Garden Club of America, she put the love of verse into her son before Paris and opium got him. After his death she and his widow collected his war letters and printed them privately."" category=family"	OK nb_approved appended verbatim: 'She gave him the poetry and the sun'	/person/henrietta-grew-1872		
