person_id	field	value_or_angle	status	slug	proposed	decision
HD8192	bio_blurb	Shanghai journalist; captain, Frontier Force Regiment	OK bio_blurb set	/person/eugene-pomeroy-1913		
X02064	field_set	notable.notable_blurb=null	OK set notable.notable_blurb = None	/person/robert-lincoln-1843		
X01509	field_set	marriages[0].date_year=1834	OK set marriages[0].date_year = 1834	/person/william-clowes-1803		
H01568	field_set	marriages[0].date_year=1834	OK set marriages[0].date_year = 1834	/person/elizabeth-clowes-1809		
HD3067	field_set	cross_connections[0].display_label=was his father-in-law, and left the fortune that funded the campaign	OK set cross_connections[0].display_label = 'was his father-in-law, and left the fortune that funded the campaign'	/person/charles-taft-1843		
X02067	field_set	cross_connections[0].display_label=was his son-in-law, and spent the Sinton money on a presidency	OK set cross_connections[0].display_label = 'was his son-in-law, and spent the Sinton money on a presidency'	/person/david-sinton-1808		
X02110	field_set	cross_connections[0].display_label=attended the 1883 Montana hunt he organised, as Secretary of War	OK set cross_connections[0].display_label = 'attended the 1883 Montana hunt he organised, as Secretary of War'	/person/john-crosby-1839		
X02064	cc	"related=X02110 link=""John Schuyler Crosby"" label=""organised the 1883 presidential hunt he went on as Secretary of War"""	OK cc->X02110 added (reciprocal present)	/person/robert-lincoln-1843		
X02110	bio_blurb	Governor of Montana Territory, 1883-1884	OK bio_blurb set	/person/john-crosby-1839		
X02110	education	"school_name=""University of the City of New York"""	OK education record appended	/person/john-crosby-1839		
X02110	career	"role=""School Commissioner"" organization=""City of New York"" start_year=1889 end_year=1891"	OK career record appended	/person/john-crosby-1839		
X02110	career	"role=""First Assistant Postmaster General"" organization=""United States"" start_year=1884 end_year=1885"	OK career record appended	/person/john-crosby-1839		
X02110	career	"role=""Governor"" organization=""Montana Territory"" start_year=1883 end_year=1884"	OK career record appended	/person/john-crosby-1839		
X02110	career	"role=""United States Consul"" organization=""Florence, Italy"" start_year=1876 end_year=1882"	OK career record appended	/person/john-crosby-1839		
X02110	career	"role=""Civil engineer"" organization=""Lighthouses and breakwaters"" start_year=1871 end_year=1876"	OK career record appended	/person/john-crosby-1839		
X02110	career	"role=""Brevet Lieutenant Colonel"" organization=""United States Army"" start_year=1861 end_year=1871"	OK career record appended	/person/john-crosby-1839		
