person_id	field	value_or_angle	status	slug	proposed	decision
HD8145	blurb_remove	bio_blurb	OK bio_blurb cleared (was: 'New Haven Foote daughter')	/person/amelia-hill-1855		
HD8150	notable_blurb	Household and garden author	OK notable_blurb set	/person/amelia-hill-1884		
HD0856	nb_replace	"old=""Husband helped organize Republican Party, 1856"" header=""Ten years a widow before she married again"" body=""Charles Jenkins died at Portland at the end of 1831, forty-five years old, and left her with three children and no pulpit. She had just turned thirty-two. She waited ten years, and married Dr. Elial Todd Foote at Greenfield in April 1841."" category=marriage"	OK nb_replace: 'Husband helped organize Republican Party, 1856' -> 'Ten years a widow before she married again' placed verbatim in place	/person/amelia-leavitt-1799		
HD0856	nb_replace	"old=""Granddaughter of Yale President Ezra Stiles"" header=""Her second marriage made her daughter a Foote"" body=""The 1841 marriage brought her three Jenkins children into Elial Foote's house alongside his own. Her daughter Amelia married his son Charles about eleven years later, joining the two families a second time."" category=family"	OK nb_replace: 'Granddaughter of Yale President Ezra Stiles' -> 'Her second marriage made her daughter a Foote' placed verbatim in place	/person/amelia-leavitt-1799		
HD0856	nb_replace	"old=""Granddaughter of Sarah Hooker; born Greenfield 1799"" header=""She had a Yale president on one side"" body=""Her mother Emilia was a daughter of Ezra Stiles, who ran Yale College from 1778 to 1795. Her father, Hon. Jonathan Leavitt, kept the bench and the counting-house at Greenfield."" category=family"	OK nb_replace: 'Granddaughter of Sarah Hooker; born Greenfield 1799' -> 'She had a Yale president on one side' placed verbatim in place	/person/amelia-leavitt-1799		
HD3082	field_set	narrative_blocks[0].category=education	OK set narrative_blocks[0].category = 'education'	/person/robert-taft-1889		
HD3082	field_set	narrative_blocks[1].category=politics	OK set narrative_blocks[1].category = 'politics'	/person/robert-taft-1889		
HD3082	field_set	narrative_blocks[2].category=politics	OK set narrative_blocks[2].category = 'politics'	/person/robert-taft-1889		
HD3082	field_set	narrative_blocks[3].category=family	OK set narrative_blocks[3].category = 'family'	/person/robert-taft-1889		
HD3082	nb_replace	"old=""He wrote the law that reined in unions"" header=""He wrote the law that reined in unions"" body=""After the strike wave of 1945 and 1946 he co-authored the Taft-Hartley Act, which banned the closed shop, opened the way to state right-to-work laws and tightened federal limits on organized labor; Congress passed it over Truman's veto. A generation earlier Talcott Huntington Russell had drafted Connecticut's workmen's compensation act, which ran the other way — the first pulling protection toward labor, the second pulling power back from it."" category=law"	OK nb_replace: 'He wrote the law that reined in unions' -> 'He wrote the law that reined in unions' placed verbatim in place	/person/robert-taft-1889		
HD8172	video	"title=""Jeannette Expedition"" url=https://www.youtube.com/watch?v=zSNB6sXBL-w platform=youtube summary=""Arctic search party"""	OK video created VID071 'Arctic search party'; backlink wired (bidirectional)	/person/william-howard-1860		
