person_id	field	value_or_angle	status	slug	proposed	decision
HD1406	nb_remove	Father co-founded Skull and Bones at Yale	OK NB 'Father co-founded Skull and Bones at Yale' removed (explicit)	/person/talcott-russell-1847		
HD1406	nb_remove	Yale 1869, Columbia Law LL.B. 1872	OK NB 'Yale 1869, Columbia Law LL.B. 1872' removed (explicit)	/person/talcott-russell-1847		
HD1406	nb_replace	"old=""First chairman of CT workmen's compensation 1913"" header=""He wrote Connecticut's workmen's compensation law"" body=""The legislature's committee on industrial injuries retained him in 1911 to draft a bill, and what he wrote framed much of what was finally passed. When the state adopted the system in 1913 they made him first chairman of the board."" category=social_reform"	OK nb_replace: 'First chairman of CT workmen's compensation 1913' -> 'He wrote Connecticut's workmen's compensation law' placed verbatim in place	/person/talcott-russell-1847		
HD1406	nb_replace	"old=""Donated his ancestor's 1638 sea chest to history"" header=""The sea chest letter ended with his name"" body=""When the family gave the 1638 William Russell sea chest to the New Haven Colony Historical Society in 1888, the provenance letter traced two hundred and fifty years of custody and stopped at him. He was the living end of the chain."" category=legacy"	OK nb_replace: 'Donated his ancestor's 1638 sea chest to history' -> 'The sea chest letter ended with his name' placed verbatim in place	/person/talcott-russell-1847		
HD1406	nb_replace	"old=""Conference on Uniform State Laws founding treasurer"" header=""He helped write law for every state"" body=""He was among the first members of the Conference on Uniform State Laws and served for years as its treasurer, chairing the committee on commercial law. That body still drafts the model statutes the states adopt."" category=law"	OK nb_replace: 'Conference on Uniform State Laws founding treasurer' -> 'He helped write law for every state' placed verbatim in place	/person/talcott-russell-1847		
HD1406	nb_replace	"old=""Secretary-treasurer of the Russell Process Company"" header=""He kept the books on his brother's patents"" body=""His brother Edward invented a process for pulling silver out of low-grade ore, and Talcott was secretary-treasurer of the company that licensed it. The office was in New York, but most of the work went through his law office in New Haven."" category=business"	OK nb_replace: 'Secretary-treasurer of the Russell Process Company' -> 'He kept the books on his brother's patents' placed verbatim in place	/person/talcott-russell-1847		
HD1406	nb_replace	"old=""Third generation to carry the Talcott name"" header=""Third in his line to carry Talcott"" body=""His grandfather Matthew Talcott Russell was named for the childless Col. Matthew Talcott, who had paid for his schooling. The name skipped his father's generation and came down to him."" category=family"	OK nb_replace: 'Third generation to carry the Talcott name' -> 'Third in his line to carry Talcott' placed verbatim in place	/person/talcott-russell-1847		
HD1406	nb_replace	"old=""Yale Law instructor on municipal corporations"" header=""Eight years teaching municipal corporations"" body=""From 1892 to 1900 he was instructor on municipal corporations at the Yale law school while carrying his New Haven practice. He had sat on the city's board of councilmen and served a year as its president."" category=education"	OK nb_replace: 'Yale Law instructor on municipal corporations' -> 'Eight years teaching municipal corporations' placed verbatim in place	/person/talcott-russell-1847		
HD1408	nb_approved	"header=""Marsh wanted him for the bone hunt"" body=""In 1872 he went west as assistant to Professor O. C. Marsh on a fossil expedition, and Marsh pressed him to make paleontology his life's work. He would not delay medicine for it. Marsh asked again the next year, left the offer open for good, and kept him as his physician and friend until he died in 1899."" category=science"	OK nb_approved appended verbatim: 'Marsh wanted him for the bone hunt'	/person/thomas-russell-1851		
HD1408	nb_approved	"header=""Every male ancestor had gone to Yale"" body=""The family sketch claimed every male ancestor had been a college graduate since before Yale existed, and every one since had graduated from Yale itself. His four brothers went too, but for the one who died of dysentery in his sophomore year."" category=education"	OK nb_approved appended verbatim: 'Every male ancestor had gone to Yale'	/person/thomas-russell-1851		
HD1408	nb_approved	"header=""He taught to pay for medical school"" body=""His father lost heavily when New Haven real estate fell, so he taught through his medical studies and after, until the practice carried him. He inherited absolutely no money, he wrote — but sound health and a good name."" category=character"	OK nb_approved appended verbatim: 'He taught to pay for medical school'	/person/thomas-russell-1851		
HD0571	nb_approved	"header=""She was schooled in Europe and America"" body=""She had the advantage of boarding schools on both sides of the Atlantic. Her husband's family sketch credited her with perfect health, sound common sense, and a way of never tiring of doing good."" category=education"	OK nb_approved appended verbatim: 'She was schooled in Europe and America'	/person/mary-russell-1856		
I01120	nb_approved	"header=""She outlived him by twenty-two years"" body=""Talcott died at Westport in the October of 1917 after four years of illness. She lived on in New Haven until 1939 and was buried beside him at Grove Street."" category=death"	OK nb_approved appended verbatim: 'She outlived him by twenty-two years'	/person/geraldine-low-1862		
