person_id	field	value_or_angle	status	slug	proposed	decision
HD3016	field_set	cross_connections[0].display_label=ran WKRC in Cincinnati while he built Armed Forces Radio	OK set cross_connections[0].display_label = 'ran WKRC in Cincinnati while he built Armed Forces Radio'	/person/edward-munson-1904		
HD3093	field_set	cross_connections[0].display_label=founded Armed Forces Radio while he was broadcasting from Cincinnati	OK set cross_connections[0].display_label = 'founded Armed Forces Radio while he was broadcasting from Cincinnati'	/person/hulbert-taft-1877		
HD3073	field_set	cross_connections[0].display_label=co-founded Skull and Bones with his father, a generation before him	OK set cross_connections[0].display_label = 'co-founded Skull and Bones with his father, a generation before him'	/person/henry-taft-1859		
HD1395	field_set	cross_connections[3].display_label=joined the society his father co-founded, a generation later	OK set cross_connections[3].display_label = 'joined the society his father co-founded, a generation later'	/person/william-russell-1809		
HD3073	field_set	cross_connections[1].display_label=belonged to the Bohemian Club alongside him	OK set cross_connections[1].display_label = 'belonged to the Bohemian Club alongside him'	/person/henry-taft-1859		
HD3073	field_set	cross_connections[2].display_label=chaired Nixon's FTC, three generations after the Tobacco Trust case	"OK set cross_connections[2].display_label = ""chaired Nixon's FTC, three generations after the Tobacco Trust case"""	/person/henry-taft-1859		
TD0251	field_set	cross_connections[0].display_label=prosecuted the Tobacco Trust for the government sixty years earlier	OK set cross_connections[0].display_label = 'prosecuted the Tobacco Trust for the government sixty years earlier'	/person/miles-kirkpatrick-1918		
H00856	field_set	cross_connections[0].display_label=was the childless uncle who paid his Yale bills and gave him his name	OK set cross_connections[0].display_label = 'was the childless uncle who paid his Yale bills and gave him his name'	/person/matthew-russell-1761		
T00070	field_set	cross_connections[3].display_label=was the namesake nephew whose Yale education he paid for	OK set cross_connections[3].display_label = 'was the namesake nephew whose Yale education he paid for'	/person/matthew-talcott-1713		
H00856	field_set	cross_connections[1].display_label=was his grandson, and carried the Talcott name to a third generation	OK set cross_connections[1].display_label = 'was his grandson, and carried the Talcott name to a third generation'	/person/matthew-russell-1761		
HD1408	nb_replace	"old=""Marsh wanted him for the bone hunt"" header=""Marsh wanted him for the bone hunt"" body=""In 1872 he went out as assistant to Professor O. C. Marsh on one of the Yale fossil expeditions into the western territories, and Marsh pressed him to make paleontology his life's work. He would not put medicine aside for it. Marsh asked again the next year, left the offer standing, and kept him as his physician and friend until he died in 1899."" category=science"	OK nb_replace: 'Marsh wanted him for the bone hunt' -> 'Marsh wanted him for the bone hunt' placed verbatim in place	/person/thomas-russell-1851		
